Owner_id;id;High_value;Low_value;class_Description;sensor_Description
1644;322625;200;26;1.113 (D04) Administratie;MeasAirflow 1.113 (D04) Administratie
1647;322765;0;0;1.101 (D07) Lectorkamer;MeasAirflow 1.101 (D07) Lectorkamer
1648;596531;109;14;1.119 (D08) Flexwerkplek;MeasAirflow 1.119 (D08) Flexwerkplek
1650;323045;24;3;1.045 (D10) ICT Helpdesk;MeasAirflow 1.045 (D10) ICT Helpdesk
1651;332182;;;1.042 (F01) Toilet heren 1e Verdieping Noord;MeasAirflow F01 Toilet heren 1e Verdieping Noord
1652;332273;;;1.106 (F01) Toilet dames 1e verdieping Zuid;MeasAirflow F01 Toilet dames 1e verdieping Zuid
1653;332364;;;1.108 (F01) Toilet heren 1e verdieping Zuid-links;MeasAirflow F01 Toilet heren 1e verdieping Zuid-links
1654;332455;;;1.104 (F01) Toilet heren 1e verdieping Zuid-rechts;MeasAirflow F01 Toilet heren 1e verdieping Zuid-rechts
1655;596687;;;1.038 (F03) Schoonmaak F15 1e verdieping;MeasAirflow 1.038 (F03) Schoonmaak F15 1e verdieping
1656;332686;;;1.036 (F01) Toilet dames 1e verdieping Noord;MeasAirflow F01 Toilet dames 1e verdieping Noord
1676;596867;66;8;1.062 (J16) Kopieerruimte 1e verdieping;MeasAirflow 1.062 (J16) Kopieerruimte 1e verdieping
1692;242850;;;OG0B5B;Actual Air Flow OG0B5B
1694;82867;37;5;OG0470 ODK 1.049;Actual Air Flow OG0470
1700;83180;27;3;OG016E ODK 1.055;Actual Air Flow OG016E
1736;85074;100;13;OG0188 ODK 1.043;Actual Air Flow OG0188
1881;93375;39;5;OG012A ODK 1.037;Actual Air Flow OG012A
1885;93624;25;3;OG0472 ODK 1.039;Actual Air Flow OG0472
1897;94293;18;2;OG0149 ODK 1.031;Actual Air Flow OG0149
1932;96100;29;3;OG0439 ODK 1.032;Actual Air Flow OG0439
2109;107452;107;14;OG0171 ODK 1.051;Actual Air Flow OG0171
2124;108221;1082;144;OG0136 VAV12 2e verd;Actual Air Flow OG0136
2131;108605;113;15;OG0410 ODK 1.071;Actual Air Flow OG0410
2169;110598;108;14;OG0145 ODK 1.069;Actual Air Flow OG0145
2172;110699;189;25;OG0132 ODK 1.072;Actual Air Flow OG0132
2183;111064;68;9;OG047D ODK 1.067;Actual Air Flow OG047D
2194;111429;37;5;OG0434 ODK 1.064;Actual Air Flow OG0434
2238;113874;10;1;OG045B ODK 1.074;Actual Air Flow OG045B
2286;116914;13;1;OG0428 ODK 1.086;Actual Air Flow OG0428
2338;119377;3358;447;OG047F VAV6 2e verd;Actual Air Flow OG047F
2343;119543;4015;535;OG0452 VAV-R-5;Actual Air Flow OG0452
2463;126872;19;2;OG0416 ODK 1.112;Actual Air Flow OG0416
2549;328637;;;2.104 (F01) Toilet heren 2e Verdieping Zuid-rechts;MeasAirflow F01 Toilet heren 2e Verdieping Zuid-rechts
2550;328728;;;2.042 (F01) Toilet heren 2e Verdieping Noord;MeasAirflow F01 Toilet heren 2e Verdieping Noord
2551;328819;;;2.032 (F01) Toilet dames 2e Verdieping Noord;MeasAirflow F01 Toilet dames 2e Verdieping Noord
2552;328910;;;2.106 (F01) Toilet dames 2e Verdieping Zuid;MeasAirflow F01 Toilet dames 2e Verdieping Zuid
2553;597011;61;8;1.032 (B3.06a) Spreekkamer;MeasAirflow 1.032 (B3.06a) Spreekkamer
2554;597139;74;9;1.034 (B3.06b) Spreekkamer;MeasAirflow 1.034 (B3.06b) Spreekkamer
2590;134024;18;2;OG0465 ODK 2.091;Actual Air Flow OG0465
2592;134203;1256;167;OG0453 VAV-R-1;Actual Air Flow OG0453
2596;134452;1960;261;OG0400 VAV2 2e verd;Actual Air Flow OG0400
2598;134631;1059;141;OG0437 VAV11 2e verd;Actual Air Flow OG0437
2601;134845;193;25;OG0167 ODK 2.119;Actual Air Flow OG0167
2606;135212;2811;374;OG018D VAV-R-13;Actual Air Flow OG018D
2608;135391;24;3;OG017C ODK 1.045;Actual Air Flow OG017C
2614;135928;47;6;OG0458 ODK 1.033;Actual Air Flow OG0458
2632;137028;877;116;OG042B VAV4 2e verd;Actual Air Flow OG042B
2635;137129;1331;177;OG0131 VAV-R-3;Actual Air Flow OG0131
2642;169600;20;2;OG0431 ODK 1.091;Actual Air Flow OG0431
2644;137767;14;1;OG018F ODK 1.094;Actual Air Flow OG018F
2647;137868;70;9;OG0482 ODK 1.093;Actual Air Flow OG0482
2650;138082;29;3;OG0137 ODK 1.099;Actual Air Flow OG0137
2652;138152;55;7;OG0481 ODK 1.107;Actual Air Flow OG0481
2847;150499;682;90;OG0129 VAV9 1e verd;Actual Air Flow OG0129
2890;153719;117;15;OG0163 ODK 1.021;Actual Air Flow OG0163
2916;155383;211;28;OG041B ODK 1.013;Actual Air Flow OG041B
2986;159451;0;0;OG0430 ODK 0.015;Actual Air Flow OG0430
3013;160532;26;3;OG041A ODK 1.052;Actual Air Flow OG041A
3029;161066;200;26;OG045F ODK 1.113;Actual Air Flow OG045F
3049;161724;456;60;OG043F ODK 1.044;Actual Air Flow OG043F
3055;161926;157;20;OG044A ODK 1.132;Actual Air Flow OG044A
3082;162791;238;31;OG0157 ODK 1.015;Actual Air Flow OG0157
3151;166773;167;22;OG014A ODK 1.122;Actual Air Flow OG014A
3174;167839;198;26;OG043B ODK 1.075;Actual Air Flow OG043B
3214;169855;0;0;OG012D ODK 1.088;Actual Air Flow OG012D
3235;171044;413;55;OG0467 ODK 1.097;Actual Air Flow OG0467
3240;171257;34;4;OG0159 ODK 1.087;Actual Air Flow OG0159
3278;173324;22;3;OG0183 ODK 1.041;Actual Air Flow OG0183
3287;173788;30;4;OG0135 ODK 1.034;Actual Air Flow OG0135
3308;174745;853;113;OG040D VAV3 1e verd;Actual Air Flow OG040D
3360;177929;16;2;OG015E ODK 1.114;Actual Air Flow OG015E
3520;181555;29;3;OG017A ODK 1.053;Actual Air Flow OG017A
3539;182194;74;9;OG040C ODK 1.047;Actual Air Flow OG040C
3542;182299;46;6;OG0459 ODK 1.111;Actual Air Flow OG0459
3777;198591;114;15;OG0423 ODK 0.014;Actual Air Flow OG0423
3874;205160;428;57;OG0166 ODK 0.014;Actual Air Flow OG0166
3875;205195;1016;135;OG040E VAV-R-2;Actual Air Flow OG040E
3960;208134;93;12;OG0456 ODK 0.014;Actual Air Flow OG0456
4001;210228;1220;162;OG0479 VAV1 bg;Actual Air Flow OG0479
4107;216187;255;34;OG0440 ODK 0.014;Actual Air Flow OG0440
4287;225235;1245;166;OG0191 VAV-R-6;Actual Air Flow OG0191
4313;226664;64;8;OG044E ODK 0.035;Actual Air Flow OG044E
4320;226893;1597;213;OG046C VAV7 bg;Actual Air Flow OG046C
4342;227399;671;89;OG015F VAV-R-5;Actual Air Flow OG015F
